name,version,install_command,release_date,release_year,old_version,old_release_date,old_release_year,url
aiosignal,1.3.1,pip install aiosignal,2022-11-08,2022,1.0.0a0,2019-08-28,2019,https://pypi.org/project/aiosignal/
alabaster,0.7.13,pip install alabaster,2023-01-13,2023,0.0.1,2013-12-10,2013,https://pypi.org/project/alabaster/
altair,5.0.1,pip install altair,2023-05-26,2023,1.0.0rc1,2016-07-09,2016,https://pypi.org/project/altair/
albumentations,1.3.1,pip install albumentations,2023-06-10,2023,0.0.2,2018-06-28,2018,https://pypi.org/project/albumentations/
annotated-types,0.5.0,pip install annotated-types,2023-05-31,2023,0.1.0,2022-05-02,2022,https://pypi.org/project/annotated-types/
argon2-cffi,23.1.0,pip install argon2-cffi,2023-08-15,2023,15.0.0b5,2015-12-10,2015,https://pypi.org/project/argon2-cffi/
anyio,3.7.1,pip install anyio,2023-07-05,2023,1.0.0a1,2018-10-12,2018,https://pypi.org/project/anyio/
appdirs,1.4.4,pip install appdirs,2020-05-11,2020,1.1.0,2010-09-02,2010,https://pypi.org/project/appdirs/
arviz,0.16.1,pip install arviz,2023-07-18,2023,0.0.1,2018-07-26,2018,https://pypi.org/project/arviz/
astropy,5.3.2,pip install astropy,2023-08-15,2023,0.1,2012-06-19,2012,https://pypi.org/project/astropy/
argon2-cffi-bindings,21.2.0,pip install argon2-cffi-bindings,2021-12-01,2021,21.1.0,2021-11-28,2021,https://pypi.org/project/argon2-cffi-bindings/
attrs,23.1.0,pip install attrs,2023-04-16,2023,15.0.0a1,2015-02-21,2015,https://pypi.org/project/attrs/
astunparse,1.6.3,pip install astunparse,2019-12-22,2019,1.1.0,2014-04-01,2014,https://pypi.org/project/astunparse/
async-timeout,4.0.3,pip install async-timeout,2023-08-10,2023,1.0.0,2016-09-08,2016,https://pypi.org/project/async-timeout/
array-record,0.4.1,pip install array-record,2023-08-08,2023,0.1.0,2022-11-23,2022,https://pypi.org/project/array-record/
beautifulsoup4,4.12.2,pip install beautifulsoup4,2023-04-07,2023,4.0.1,2014-01-21,2014,https://pypi.org/project/beautifulsoup4/
backcall,0.2.0,pip install backcall,2020-06-09,2020,0.1.0,2014-01-18,2014,https://pypi.org/project/backcall/
autograd,1.6.2,pip install autograd,2023-06-23,2023,1.0.1,2015-04-10,2015,https://pypi.org/project/autograd/
blis,0.9.1,pip install blis,2022-08-04,2022,0.0.1,2016-07-28,2016,https://pypi.org/project/blis/
bleach,6.0.0,pip install bleach,2023-01-23,2023,0.1,2010-02-20,2010,https://pypi.org/project/bleach/
blinker,1.6.2,pip install blinker,2023-04-12,2023,0.8,2010-02-14,2010,https://pypi.org/project/blinker/
bokeh,3.2.2,pip install bokeh,2023-08-14,2023,0.2,2013-10-23,2013,https://pypi.org/project/bokeh/
build,0.10.0,pip install build,2023-01-11,2023,0.0.1,2020-05-25,2020,https://pypi.org/project/build/
blosc2,2.2.6,pip install blosc2,2023-08-01,2023,0.1.1,2021-05-10,2021,https://pypi.org/project/blosc2/
audioread,3.0.0,pip install audioread,2022-08-12,2022,0.1,2011-11-12,2011,https://pypi.org/project/audioread/
branca,0.6.0,pip install branca,2022-11-07,2022,0.1.0,2016-03-03,2016,https://pypi.org/project/branca/
cachetools,5.3.1,pip install cachetools,2023-05-27,2023,0.0.0,2014-03-22,2014,https://pypi.org/project/cachetools/
catalogue,2.0.9,pip install catalogue,2023-07-24,2023,0.0.2,2019-11-01,2019,https://pypi.org/project/catalogue/
certifi,2023.7.22,pip install certifi,2023-07-22,2023,0,2011-12-28,2011,https://pypi.org/project/certifi/
cffi,1.15.1,pip install cffi,2022-06-30,2022,0.1,2012-06-18,2012,https://pypi.org/project/cffi/
chex,0.1.82,pip install chex,2023-07-20,2023,0.0.1,2020-08-07,2020,https://pypi.org/project/chex/
CacheControl,0.13.1,pip install CacheControl,2023-06-08,2023,0.5,2013-06-18,2013,https://pypi.org/project/CacheControl/
charset-normalizer,3.2.0,pip install charset-normalizer,2023-07-07,2023,0.1a0,2019-08-02,2019,https://pypi.org/project/charset-normalizer/
chardet,5.2.0,pip install chardet,2023-08-01,2023,1.0,2006-12-23,2006,https://pypi.org/project/chardet/
click,8.1.7,pip install click,2023-08-17,2023,0.1,2014-04-21,2014,https://pypi.org/project/click/
cloudpickle,2.2.1,pip install cloudpickle,2023-01-19,2023,0.1.0,2015-04-13,2015,https://pypi.org/project/cloudpickle/
click-plugins,1.1.1,pip install click-plugins,2019-04-04,2019,1.0,2015-07-21,2015,https://pypi.org/project/click-plugins/
colorcet,3.0.1,pip install colorcet,2022-10-03,2022,0.9.0,2016-11-10,2016,https://pypi.org/project/colorcet/
cmake,3.27.2,pip install cmake,2023-08-12,2023,0.1.0,2016-11-09,2016,https://pypi.org/project/cmake/
cmdstanpy,1.1.0,pip install cmdstanpy,2023-01-25,2023,0.4.0,2019-07-19,2019,https://pypi.org/project/cmdstanpy/
cligj,0.7.2,pip install cligj,2021-05-28,2021,0.1.0,2015-01-06,2015,https://pypi.org/project/cligj/
colorlover,0.3.0,pip install colorlover,2019-01-19,2019,0.1,2015-01-30,2015,https://pypi.org/project/colorlover/
confection,0.1.1,pip install confection,2023-08-04,2023,0.0.1,2022-08-24,2022,https://pypi.org/project/confection/
contourpy,1.1.0,pip install contourpy,2023-06-13,2023,0.0.1,2021-09-20,2021,https://pypi.org/project/contourpy/
contextlib2,21.6.0,pip install contextlib2,2021-06-27,2021,0.1,2011-12-13,2011,https://pypi.org/project/contextlib2/
cryptography,41.0.3,pip install cryptography,2023-08-01,2023,0.1,2014-01-08,2014,https://pypi.org/project/cryptography/
convertdate,2.4.0,pip install convertdate,2022-01-22,2022,2.0.1,2014-11-05,2014,https://pypi.org/project/convertdate/
cufflinks,0.17.3,pip install cufflinks,2020-03-01,2020,0.1,2015-01-20,2015,https://pypi.org/project/cufflinks/
cycler,0.11.0,pip install cycler,2021-10-29,2021,0.9.0,2015-07-04,2015,https://pypi.org/project/cycler/
community,1.0.0b1,pip install community,2014-08-21,2014,1.0.0a1,2014-08-21,2014,https://pypi.org/project/community/
dask,2023.8.1,pip install dask,2023-08-18,2023,0.2.0,2015-01-29,2015,https://pypi.org/project/dask/
cymem,2.0.7,pip install cymem,2022-10-14,2022,0.8,2014-09-25,2014,https://pypi.org/project/cymem/
cvxopt,1.3.2,pip install cvxopt,2023-08-09,2023,1.1.6,2014-02-21,2014,https://pypi.org/project/cvxopt/
cvxpy,1.3.2,pip install cvxpy,2023-06-27,2023,0.1,2013-12-19,2013,https://pypi.org/project/cvxpy/
decorator,5.1.1,pip install decorator,2022-01-07,2022,3.3.1,2011-04-22,2011,https://pypi.org/project/decorator/
debugpy,1.6.7.post1,pip install debugpy,2023-08-08,2023,1.0.0b1,2020-01-29,2020,https://pypi.org/project/debugpy/
dbus-python,1.3.2,pip install dbus-python,2022-09-06,2022,0.83.2,2011-05-18,2011,https://pypi.org/project/dbus-python/
datascience,0.17.6,pip install datascience,2023-02-22,2023,0.1.0,2015-07-17,2015,https://pypi.org/project/datascience/
db-dtypes,1.1.1,pip install db-dtypes,2023-03-30,2023,0.0.1a1,2021-09-23,2021,https://pypi.org/project/db-dtypes/
defusedxml,0.7.1,pip install defusedxml,2021-03-08,2021,0.3,2013-02-19,2013,https://pypi.org/project/defusedxml/
cons,0.4.6,pip install cons,2023-06-22,2023,0.0.1,2019-08-04,2019,https://pypi.org/project/cons/
distributed,2023.8.1,pip install distributed,2023-08-18,2023,1.0.0,2015-10-07,2015,https://pypi.org/project/distributed/
distro,1.8.0,pip install distro,2022-10-10,2022,0.5.0,2016-04-20,2016,https://pypi.org/project/distro/
dlib,19.24.2,pip install dlib,2023-06-03,2023,18.17.100,2015-09-27,2015,https://pypi.org/project/dlib/
dm-tree,0.1.8,pip install dm-tree,2022-12-18,2022,0.1.0,2019-11-05,2019,https://pypi.org/project/dm-tree/
duckdb,0.8.1,pip install duckdb,2023-06-13,2023,0.0.2,2019-05-08,2019,https://pypi.org/project/duckdb/
ecos,2.0.12,pip install ecos,2022-12-23,2022,1.0.1,2014-01-15,2014,https://pypi.org/project/ecos/
earthengine-api,0.1.364,pip install earthengine-api,2023-08-16,2023,0.0.3,2013-01-02,2013,https://pypi.org/project/earthengine-api/
easydict,1.10,pip install easydict,2022-09-28,2022,1.0,2011-04-18,2011,https://pypi.org/project/easydict/
docutils,0.20.1,pip install docutils,2023-05-16,2023,0.3,2003-06-25,2003,https://pypi.org/project/docutils/
entrypoints,0.4,pip install entrypoints,2022-02-02,2022,0.1,2015-05-06,2015,https://pypi.org/project/entrypoints/
et-xmlfile,1.1.0,pip install et-xmlfile,2021-04-26,2021,1.0.0,2015-03-30,2015,https://pypi.org/project/et-xmlfile/
etils,1.4.1,pip install etils,2023-07-31,2023,0.1.0,2021-12-07,2021,https://pypi.org/project/etils/
exceptiongroup,1.1.3,pip install exceptiongroup,2023-08-14,2023,0.0.0a0,2020-11-04,2020,https://pypi.org/project/exceptiongroup/
fastai,2.7.12,pip install fastai,2023-03-28,2023,0.6,2017-11-29,2017,https://pypi.org/project/fastai/
fastjsonschema,2.18.0,pip install fastjsonschema,2023-07-22,2023,1.0,2016-10-05,2016,https://pypi.org/project/fastjsonschema/
dopamine-rl,4.0.6,pip install dopamine-rl,2022-09-21,2022,1.0.0,2018-08-26,2018,https://pypi.org/project/dopamine-rl/
ephem,4.1.4,pip install ephem,2022-12-21,2022,3.7.3,2008-10-15,2008,https://pypi.org/project/ephem/
filelock,3.12.2,pip install filelock,2023-06-12,2023,0.2.0,2014-07-06,2014,https://pypi.org/project/filelock/
fastrlock,0.8.1,pip install fastrlock,2022-11-03,2022,0.1,2017-06-04,2017,https://pypi.org/project/fastrlock/
fastprogress,1.0.3,pip install fastprogress,2022-07-22,2022,0.1.5,2018-09-26,2018,https://pypi.org/project/fastprogress/
fastcore,1.5.29,pip install fastcore,2023-03-28,2023,0.0.1,2019-12-02,2019,https://pypi.org/project/fastcore/
editdistance,0.6.2,pip install editdistance,2022-12-18,2022,0.1,2013-09-13,2013,https://pypi.org/project/editdistance/
etuples,0.3.9,pip install etuples,2023-05-17,2023,0.1.0,2019-12-24,2019,https://pypi.org/project/etuples/
fastdownload,0.0.7,pip install fastdownload,2022-07-07,2022,0.0.1,2021-07-31,2021,https://pypi.org/project/fastdownload/
firebase-admin,6.2.0,pip install firebase-admin,2023-06-22,2023,1.0.0,2017-04-04,2017,https://pypi.org/project/firebase-admin/
flatbuffers,23.5.26,pip install flatbuffers,2023-05-26,2023,1.9,2018-06-11,2018,https://pypi.org/project/flatbuffers/
frozendict,2.3.8,pip install frozendict,2023-04-29,2023,0.1,2012-12-11,2012,https://pypi.org/project/frozendict/
frozenlist,1.4.0,pip install frozenlist,2023-07-12,2023,1.0.0a0,2019-08-28,2019,https://pypi.org/project/frozenlist/
fsspec,2023.6.0,pip install fsspec,2023-06-09,2023,0.1.0,2019-01-02,2019,https://pypi.org/project/fsspec/
folium,0.14.0,pip install folium,2022-12-12,2022,0.0.0,2021-01-06,2021,https://pypi.org/project/folium/
flax,0.7.2,pip install flax,2023-08-09,2023,0.1.0rc1,2020-03-17,2020,https://pypi.org/project/flax/
future,0.18.3,pip install future,2023-01-13,2023,0.0.1,2013-07-14,2013,https://pypi.org/project/future/
fonttools,4.42.1,pip install fonttools,2023-08-20,2023,1.0,2003-01-03,2003,https://pypi.org/project/fonttools/
gdown,4.7.1,pip install gdown,2023-03-25,2023,1.0.0,2015-10-17,2015,https://pypi.org/project/gdown/
gcsfs,2023.6.0,pip install gcsfs,2023-06-12,2023,0.0.1,2017-06-28,2017,https://pypi.org/project/gcsfs/
gast,0.5.4,pip install gast,2023-04-29,2023,0.1,2016-07-18,2016,https://pypi.org/project/gast/
gensim,4.3.1,pip install gensim,2023-03-10,2023,0.2,2010-03-18,2010,https://pypi.org/project/gensim/
geographiclib,2.0,pip install geographiclib,2022-04-23,2022,1.14,2011-09-30,2011,https://pypi.org/project/geographiclib/
geopandas,0.13.2,pip install geopandas,2023-06-06,2023,0.1.0.dev-a7b594e,2014-04-23,2014,https://pypi.org/project/geopandas/
google,3.0.0,pip install google,2020-07-11,2020,1.9.3,2016-07-26,2016,https://pypi.org/project/google/
glob2,0.7,pip install glob2,2019-06-10,2019,0.2.0,2011-06-14,2011,https://pypi.org/project/glob2/
google-api-core,2.11.1,pip install google-api-core,2023-06-14,2023,0.1.0,2017-10-26,2017,https://pypi.org/project/google-api-core/
google-auth,2.22.0,pip install google-auth,2023-07-11,2023,0.0.1,2016-10-03,2016,https://pypi.org/project/google-auth/
google-auth-httplib2,0.1.0,pip install google-auth-httplib2,2021-03-04,2021,0.0.1,2016-10-28,2016,https://pypi.org/project/google-auth-httplib2/
gin-config,0.5.0,pip install gin-config,2021-11-03,2021,0.1,2018-07-11,2018,https://pypi.org/project/gin-config/
geopy,2.3.0,pip install geopy,2022-11-13,2022,0.92,2006-09-09,2006,https://pypi.org/project/geopy/
google-auth-oauthlib,1.0.0,pip install google-auth-oauthlib,2023-02-07,2023,0.0.1,2017-03-23,2017,https://pypi.org/project/google-auth-oauthlib/
google-api-python-client,2.97.0,pip install google-api-python-client,2023-08-15,2023,1.0beta5prerelease,2011-10-17,2011,https://pypi.org/project/google-api-python-client/
google-cloud-bigquery,3.11.4,pip install google-cloud-bigquery,2023-07-19,2023,0.0.1,2016-08-15,2016,https://pypi.org/project/google-cloud-bigquery/
google-cloud-bigquery-storage,2.22.0,pip install google-cloud-bigquery-storage,2023-07-06,2023,0.1.0,2018-11-30,2018,https://pypi.org/project/google-cloud-bigquery-storage/
google-cloud-core,2.3.3,pip install google-cloud-core,2023-07-05,2023,0.0.1,2016-08-16,2016,https://pypi.org/project/google-cloud-core/
google-cloud-datastore,2.17.0,pip install google-cloud-datastore,2023-08-09,2023,0.0.1,2016-08-15,2016,https://pypi.org/project/google-cloud-datastore/
google-cloud-functions,1.13.2,pip install google-cloud-functions,2023-08-03,2023,0.4.0,2020-10-02,2020,https://pypi.org/project/google-cloud-functions/
google-cloud-language,2.11.0,pip install google-cloud-language,2023-08-14,2023,0.0.1,2016-08-18,2016,https://pypi.org/project/google-cloud-language/
google-cloud-translate,3.12.0,pip install google-cloud-translate,2023-08-08,2023,0.0.1,2016-09-20,2016,https://pypi.org/project/google-cloud-translate/
google-cloud-storage,2.10.0,pip install google-cloud-storage,2023-06-26,2023,0.0.1,2016-08-15,2016,https://pypi.org/project/google-cloud-storage/
google-crc32c,1.5.0,pip install google-crc32c,2022-09-01,2022,0.0.1,2020-01-02,2020,https://pypi.org/project/google-crc32c/
google-resumable-media,2.5.0,pip install google-resumable-media,2023-04-24,2023,0.0.1,2017-04-21,2017,https://pypi.org/project/google-resumable-media/
google-cloud-firestore,2.11.1,pip install google-cloud-firestore,2023-04-26,2023,0.27.0,2017-10-03,2017,https://pypi.org/project/google-cloud-firestore/
google-pasta,0.2.0,pip install google-pasta,2020-03-13,2020,0.1,2019-01-09,2019,https://pypi.org/project/google-pasta/
googleapis-common-protos,1.60.0,pip install googleapis-common-protos,2023-07-31,2023,1.0.0,2015-12-16,2015,https://pypi.org/project/googleapis-common-protos/
google-cloud-bigquery-connection,1.13.1,pip install google-cloud-bigquery-connection,2023-08-03,2023,0.1.0,2020-05-26,2020,https://pypi.org/project/google-cloud-bigquery-connection/
graphviz,0.20.1,pip install graphviz,2022-07-23,2022,0.1,2014-01-12,2014,https://pypi.org/project/graphviz/
greenlet,2.0.2,pip install greenlet,2023-01-28,2023,0.1,2006-01-10,2006,https://pypi.org/project/greenlet/
googledrivedownloader,0.4,pip install googledrivedownloader,2019-05-20,2019,0.1,2017-12-08,2017,https://pypi.org/project/googledrivedownloader/
grpcio,1.57.0,pip install grpcio,2023-08-10,2023,0.3.0,2015-02-26,2015,https://pypi.org/project/grpcio/
gspread,5.10.0,pip install gspread,2023-06-29,2023,0.0.1,2011-12-12,2011,https://pypi.org/project/gspread/
gym,0.26.2,pip install gym,2022-10-04,2022,0.0.1,2016-04-23,2016,https://pypi.org/project/gym/
holidays,0.30,pip install holidays,2023-08-07,2023,0.1,2014-08-28,2014,https://pypi.org/project/holidays/
holoviews,1.17.1,pip install holoviews,2023-08-16,2023,1.0.0,2015-03-17,2015,https://pypi.org/project/holoviews/
grpcio-status,1.57.0,pip install grpcio-status,2023-08-10,2023,1.16.0,2018-12-11,2018,https://pypi.org/project/grpcio-status/
h5netcdf,1.2.0,pip install h5netcdf,2023-06-02,2023,0.1.dev0,2015-04-07,2015,https://pypi.org/project/h5netcdf/
gym-notices,0.0.8,pip install gym-notices,2022-08-14,2022,0.0.1,2022-02-16,2022,https://pypi.org/project/gym-notices/
httplib2,0.22.0,pip install httplib2,2023-03-21,2023,0.7.0,2012-08-28,2012,https://pypi.org/project/httplib2/
h5py,3.9.0,pip install h5py,2023-06-20,2023,1.3.0.dev-r634,2010-03-16,2010,https://pypi.org/project/h5py/
humanize,4.8.0,pip install humanize,2023-08-16,2023,0.1,2011-10-12,2011,https://pypi.org/project/humanize/
idna,3.4,pip install idna,2022-09-14,2022,0.1,2013-05-27,2013,https://pypi.org/project/idna/
hyperopt,0.2.7,pip install hyperopt,2021-11-17,2021,0.0.1,2013-01-09,2013,https://pypi.org/project/hyperopt/
imageio,2.31.1,pip install imageio,2023-06-12,2023,0.2.1,2012-07-15,2012,https://pypi.org/project/imageio/
html5lib,1.1,pip install html5lib,2020-06-22,2020,0.2,2013-06-30,2013,https://pypi.org/project/html5lib/
gspread-dataframe,3.3.1,pip install gspread-dataframe,2023-06-16,2023,1.0.0,2017-03-11,2017,https://pypi.org/project/gspread-dataframe/
importlib-resources,6.0.1,pip install importlib-resources,2023-08-07,2023,0.1.0,2017-12-07,2017,https://pypi.org/project/importlib-resources/
grpc-google-iam-v1,0.12.6,pip install grpc-google-iam-v1,2023-01-11,2023,0.9.0,2016-09-28,2016,https://pypi.org/project/grpc-google-iam-v1/
imageio-ffmpeg,0.4.8,pip install imageio-ffmpeg,2023-01-09,2023,0.1.1,2019-02-04,2019,https://pypi.org/project/imageio-ffmpeg/
imagesize,1.4.1,pip install imagesize,2022-07-01,2022,0.5.0,2016-02-01,2016,https://pypi.org/project/imagesize/
importlib-metadata,6.8.0,pip install importlib-metadata,2023-07-07,2023,0.0,2018-05-17,2018,https://pypi.org/project/importlib-metadata/
imbalanced-learn,0.11.0,pip install imbalanced-learn,2023-07-08,2023,0.1,2016-07-06,2016,https://pypi.org/project/imbalanced-learn/
httpimport,1.3.1,pip install httpimport,2023-07-25,2023,0.5.0,2017-08-25,2017,https://pypi.org/project/httpimport/
ipykernel,6.25.1,pip install ipykernel,2023-08-07,2023,4.0.0.dev,2015-07-02,2015,https://pypi.org/project/ipykernel/
imutils,0.5.4,pip install imutils,2021-01-15,2021,0.1,2015-02-01,2015,https://pypi.org/project/imutils/
iniconfig,2.0.0,pip install iniconfig,2023-01-07,2023,0.0,2010-09-29,2010,https://pypi.org/project/iniconfig/
inflect,7.0.0,pip install inflect,2023-07-04,2023,0.1,2010-06-14,2010,https://pypi.org/project/inflect/
imgaug,0.4.0,pip install imgaug,2020-02-05,2020,0.2.0,2017-03-23,2017,https://pypi.org/project/imgaug/
ipython,8.14.0,pip install ipython,2023-06-02,2023,0.7.1.fix1,2006-01-31,2006,https://pypi.org/project/ipython/
ipython-sql,0.5.0,pip install ipython-sql,2023-02-27,2023,0.1.2,2013-03-29,2013,https://pypi.org/project/ipython-sql/
intel-openmp,2023.2.0,pip install intel-openmp,2023-07-14,2023,2018.0.0,2017-09-05,2017,https://pypi.org/project/intel-openmp/
ipywidgets,8.1.0,pip install ipywidgets,2023-08-01,2023,0.0.0,2015-04-30,2015,https://pypi.org/project/ipywidgets/
itsdangerous,2.1.2,pip install itsdangerous,2022-03-24,2022,0.9,2011-06-24,2011,https://pypi.org/project/itsdangerous/
ipython_genutils,0.2.0,pip install ipython_genutils,2017-03-13,2017,0.1.0,2015-04-24,2015,https://pypi.org/project/ipython_genutils/
jeepney,0.8.0,pip install jeepney,2022-04-03,2022,0.1,2017-02-26,2017,https://pypi.org/project/jeepney/
jaxlib,0.4.14,pip install jaxlib,2023-07-27,2023,0.1.63,2021-03-17,2021,https://pypi.org/project/jaxlib/
jsonpickle,3.0.2,pip install jsonpickle,2023-08-13,2023,0.0.1,2008-03-20,2008,https://pypi.org/project/jsonpickle/
joblib,1.3.2,pip install joblib,2023-08-09,2023,0.3.2d.dev,2009-09-01,2009,https://pypi.org/project/joblib/
jsonschema,4.19.0,pip install jsonschema,2023-08-07,2023,0.1a,2012-01-02,2012,https://pypi.org/project/jsonschema/
jieba,0.42.1,pip install jieba,2020-01-20,2020,0.20,2012-11-06,2012,https://pypi.org/project/jieba/
jsonschema-specifications,2023.7.1,pip install jsonschema-specifications,2023-07-18,2023,0.1.0,2022-12-27,2022,https://pypi.org/project/jsonschema-specifications/
jupyter-client,8.3.0,pip install jupyter-client,2023-06-23,2023,4.0.0.dev,2015-04-09,2015,https://pypi.org/project/jupyter-client/
jupyter-console,6.6.3,pip install jupyter-console,2023-03-06,2023,4.0.0.dev,2015-04-10,2015,https://pypi.org/project/jupyter-console/
jupyter-core,5.3.1,pip install jupyter-core,2023-06-14,2023,4.0.0.dev,2015-04-10,2015,https://pypi.org/project/jupyter-core/
jupyter-server,2.7.2,pip install jupyter-server,2023-08-18,2023,0.0.0,2016-09-20,2016,https://pypi.org/project/jupyter-server/
jupyterlab-widgets,3.0.8,pip install jupyterlab-widgets,2023-07-04,2023,0.3.2,2016-10-08,2016,https://pypi.org/project/jupyterlab-widgets/
kaggle,1.5.16,pip install kaggle,2023-07-17,2023,1.0.0,2018-01-30,2018,https://pypi.org/project/kaggle/
keras,2.13.1,pip install keras,2023-06-27,2023,0.2.0,2015-10-11,2015,https://pypi.org/project/keras/
keyring,24.2.0,pip install keyring,2023-06-24,2023,0.1,2009-08-21,2009,https://pypi.org/project/keyring/
kiwisolver,1.4.4,pip install kiwisolver,2022-07-15,2022,0.1.0,2014-01-10,2014,https://pypi.org/project/kiwisolver/
langcodes,3.3.0,pip install langcodes,2021-11-11,2021,1.0,2014-10-07,2014,https://pypi.org/project/langcodes/
lazr.restfulclient,0.14.5,pip install lazr.restfulclient,2022-10-15,2022,0.9,2009-04-29,2009,https://pypi.org/project/lazr.restfulclient/
jax,0.4.14,pip install jax,2023-07-27,2023,0.0,2018-12-07,2018,https://pypi.org/project/jax/
launchpadlib,1.11.0,pip install launchpadlib,2023-01-09,2023,1.0,2009-03-24,2009,https://pypi.org/project/launchpadlib/
jupyterlab-pygments,0.2.2,pip install jupyterlab-pygments,2022-04-14,2022,0.1.0,2019-05-25,2019,https://pypi.org/project/jupyterlab-pygments/
libclang,16.0.6,pip install libclang,2023-07-15,2023,9.0.1,2020-08-10,2020,https://pypi.org/project/libclang/
librosa,0.10.1,pip install librosa,2023-08-16,2023,0.2.0,2013-12-14,2013,https://pypi.org/project/librosa/
lazr.uri,1.0.6,pip install lazr.uri,2021-09-13,2021,1.0,2009-03-23,2009,https://pypi.org/project/lazr.uri/
lightgbm,4.0.0,pip install lightgbm,2023-07-13,2023,2.0.2,2017-06-20,2017,https://pypi.org/project/lightgbm/
llvmlite,0.40.1,pip install llvmlite,2023-06-21,2023,0.1,2014-10-28,2014,https://pypi.org/project/llvmlite/
locket,1.0.0,pip install locket,2022-04-20,2022,0.1.0,2013-02-03,2013,https://pypi.org/project/locket/
lxml,4.9.3,pip install lxml,2023-07-05,2023,0.9,2006-03-20,2006,https://pypi.org/project/lxml/
matplotlib,3.7.2,pip install matplotlib,2023-07-05,2023,0.63.0,2004-09-28,2004,https://pypi.org/project/matplotlib/
matplotlib-inline,0.1.6,pip install matplotlib-inline,2022-08-18,2022,0.1.0,2021-02-12,2021,https://pypi.org/project/matplotlib-inline/
markdown-it-py,3.0.0,pip install markdown-it-py,2023-06-03,2023,0.1.0,2020-03-25,2020,https://pypi.org/project/markdown-it-py/
matplotlib-venn,0.11.9,pip install matplotlib-venn,2023-02-27,2023,0.2,2012-10-12,2012,https://pypi.org/project/matplotlib-venn/
mdit-py-plugins,0.4.0,pip install mdit-py-plugins,2023-06-05,2023,0.1.0,2020-12-14,2020,https://pypi.org/project/mdit-py-plugins/
mdurl,0.1.2,pip install mdurl,2022-08-14,2022,0.0.1,2021-07-20,2021,https://pypi.org/project/mdurl/
