package_name,summary,license
flask-wtf,Simple integration of Flask and WTForms,BSD-3-Clause
fontconfig,A library for configuring and customizing font access.,MIT
fonttools,"fontTools is a library for manipulating fonts, written in Python.",MIT
freetds,"FreeTDS is a free implementation of Sybase's DB-Library, CT-Library, and ODBC libraries",LGPL-2.0
freetype,"A Free, High-Quality, and Portable Font Engine",GPL-2-only and LicenseRef-FreeType
frozenlist,A list-like structure which implements collections.abc.MutableSequence,Apache-2.0
fsspec,A specification for pythonic filesystems,BSD-3-Clause
fuel,data pipeline framework for machine learning,MIT License
furl,URL manipulation made simple.,PUBLIC-DOMAIN
future,Clean single-source support for Python 3 and 2,MIT
gdal,The Geospatial Data Abstraction Library (GDAL),MIT
gensim,Topic Modelling for Humans,LGPL-2.1-only
geos,Geometry Engine - Open Source,LGPL-2.1
gevent-websocket,"Websocket handler for the gevent pywsgi server, a Python network library",Apache
gflags,A C++ library that implements commandline flags processing.,BSD 3-Clause
giflib,Library for reading and writing gif images,MIT
git,distributed version control system,GPL-2.0-or-later and LGPL-2.1-or-later
gitpython,Python Git Library,BSD-3-Clause
glib,Provides core application building blocks for libraries and applications written in C.,LGPL-2.1-or-later
glog,C++ implementation of the Google logging module.,BSD-3-Clause
glue-core,Multi-dimensional linked data exploration,BSD-3-Clause
glue-vispy-viewers,3D viewers for Glue,BSD-2-Clause
glueviz,Multi-dimensional linked data exploration,BSD-3-Clause
gmp,The GNU multiprecision library.,GPL-2.0-or-later AND LGPL-3.0-or-later
gmpy2,"GMP/MPIR, MPFR, and MPC interface to Python 2.6+ and 3.x",LGPL-3.0-or-later
graphviz,Open Source graph visualization software.,EPL-1.0
greenlet,Lightweight in-process concurrent programming,MIT
gridmap,Map Python functions onto a cluster using a grid engine,GPL3
grpc-cpp,"gRPC - A high-performance, open-source universal RPC framework",Apache-2.0
gsl,GNU Scientific Library,GPL-3.0-or-later
gst-plugins-base,GStreamer Base Plug-ins,GPL2
gstreamer,Library for constructing graphs of media-handling components,LGPL 2
gunicorn,WSGI HTTP Server for UNIX,MIT
h2o,hadoop-centric machine learning (core java package),
h5py,Read and write HDF5 files from Python,BSD-3-Clause
hdf4,Library and multi-object file format for storing and managing data between machines.,BSD 3-Clause
hdf5,"HDF5 is a data model, library, and file format for storing and managing data",OTHER
hdfs3,Python wrapper for libhdfs3,BSD 3-Clause
hdijupyterutils,Project with useful classes/methods for all projects created by the HDInsight team at Microsoft around Jupyter,BSD-3-Clause
heapdict,A heap with decrease-key and increase-key operations,BSD 3-Clause
holoviews,Stop plotting your data - annotate your data and let it visualize itself.,BSD-3-Clause
html5lib,HTML parser based on the WHATWG HTML specification,MIT
huggingface_hub,"Client library to download and publish models, datasets and other repos on the huggingface.co hub",Apache-2.0
humanize,Python humanize utilities,MIT
hvplot,A high-level plotting API for the PyData ecosystem built on HoloViews,BSD-3-Clause
hyperlink,"Immutable, Pythonic, correct URLs.",MIT
hypothesis,A library for property based testing,MPL-2.0
ibis-framework,Productivity-centric Python Big Data Framework,Apache 2.0
icu,International Components for Unicode.,MIT
idna,Internationalized Domain Names in Applications (IDNA).,BSD-3-Clause
imagecodecs,"Image transformation, compression, and decompression codecs",BSD-3-Clause
imageio,A Python library for reading and writing image data,BSD-2-Clause
imagesize,Getting image size from png/jpeg/jpeg2000/gif file,MIT
imbalanced-learn,Python module to balance data set using under- and over-sampling,MIT
importlib-metadata,A library to access the metadata for a Python package.,Apache-2.0
importlib_metadata,A library to access the metadata for a Python package.,Apache-2.0
impyla,Python client for the Impala distributed query engine,Apache-2.0
incremental,Incremental is a small library that versions your Python projects.,MIT
inflection,A port of Ruby on Rails inflector to Python,MIT
iniconfig,iniconfig: brain-dead simple config-ini parsing,MIT
intake,Data load and catalog system,BSD-2-Clause
intel-openmp,Math library for Intel and compatible processors,LicenseRef-ProprietaryIntel
intervaltree,Editable interval tree data structure for Python 2 and 3,Apache-2.0
ipykernel,IPython Kernel for Jupyter,BSD-3-Clause
ipyparallel,Interactive Parallel Computing with IPython,BSD-3-Clause
ipython,IPython: Productive Interactive Computing,BSD-3-Clause
ipython_genutils,vestigial utilities from IPython,BSD 3-Clause
ipywidgets,Jupyter Interactive Widgets,BSD-3-Clause
iso8601,Simple module to parse ISO 8601 dates,MIT
isort,A Python utility,library to sort Python imports.
itemadapter,Common interface for different data containers,BSD-3-Clause
itemloaders,Collect data from HTML and XML sources,BSD-3-Clause
itsdangerous,Various helpers to pass trusted data to untrusted environments.,BSD-3-Clause
jaraco.classes,jaraco.classes,MIT
jasper,A reference implementation of the codec specified in the JPEG-2000 Part-1 standard.,JasPer 2.0
jedi,An autocompletion tool for Python that can be used for text editors.,MIT
jeepney,Pure Python DBus interface,MIT
jellyfish,a library for doing approximate and phonetic matching of strings.,BSD-2-Clause
jinja2,A very fast and expressive template engine.,BSD-3-Clause
jinja2-time,Jinja2 Extension for Dates and Times,MIT
jmespath,Query language for JSON,MIT
joblib,Lightweight pipelining: using Python functions as pipeline jobs.,BSD-3-Clause
jpeg,"read/write jpeg COM, EXIF, IPTC medata",IJG
jq,A command-line JSON processor.,MIT
json5,A Python implementation of the JSON5 data format,Apache-2.0
jsonschema,An implementation of JSON Schema validation for Python,MIT
jupyter,Jupyter metapackage. Install all the Jupyter components in one go.,BSD-3-Clause
jupyter_client,Jupyter protocol implementation and client libraries.,BSD-3-Clause
jupyter_console,Jupyter terminal console,BSD-3-Clause
jupyter_core,Core common functionality of Jupyter projects.,BSD-3-Clause
jupyter_events,Jupyter Event System library,BSD-3-Clause
jupyter_server,Jupyter Server,BSD-3-Clause
jupyter_server_fileid,A Jupyter Server extension providing an implementation of the File ID service.,BSD-3-Clause
jupyter_server_ydoc,A Jupyter Server Extension providing support for Y documents.,BSD-3-Clause
jupyter_ydoc,Document structures for collaborative editing using Ypy,BSD-3-Clause
jupyterlab,JupyterLab 3.6.3,BSD-3-Clause
jupyterlab_launcher,A Launcher for JupyterLab based applications.,BSD 3-Clause
jupyterlab_pygments,Pygments syntax coloring scheme making use of the JupyterLab CSS variables,BSD-3-Clause
jupyterlab_server,A set of server components for JupyterLab and JupyterLab like applications.,BSD-3-Clause
jupyterlab_widgets,JupyterLab extension providing HTML widgets,BSD-3-Clause
jxrlib,"jxrlib - JPEG XR Library by Microsoft, built from Debian hosted sources.",BSD-2-Clause
kealib,The KEA format provides an implementation of the GDAL specification within the the HDF5 file format.,MIT
keras,Deep Learning Library for Theano and TensorFlow,Apache-2.0
keras-gpu,Deep Learning Library for Theano and TensorFlow,MIT
keyring,Store and access your passwords safely,MIT
kiwisolver,An efficient C++ implementation of the Cassowary constraint solver,BSD-3-Clause
knit,Python interface YARN,BSD 3-Clause
krb5,A network authentication protocol.,MIT
lancet,"Launch jobs, organize the output, and dissect the results.",BSD-3-Clause
lazy-object-proxy,A fast and thorough lazy object proxy,BSD-2-Clause
lazy_loader,Easily load subpackages and functions on demand,BSD-3-Clause
lcms2,Open Source Color Management Engine,MIT
ld_impl_linux-64,"A set of programming tools for creating and managing binary programs, object files, libraries, profile data, and assembly source code.",GPL-3.0-only
ldap3,A strictly RFC 4510 conforming LDAP V3 pure Python client library,LGPL-3.0
lerc,LERC - Limited Error Raster Compression,Apache-2.0
libaec,Adaptive Entropy Coding library,BSD-2-Clause
libarchive,Multi-format archive and compression library,BSD-2-Clause
libboost,Free peer-reviewed portable C++ source libraries.,BSL-1.0
libbrotlicommon,Brotli compression format,MIT
libbrotlidec,Brotli compression format,MIT
libbrotlienc,Brotli compression format,MIT
libclang,Development headers and libraries for Clang,Apache-2.0 WITH LLVM-exception
libcurl,tool and library for transferring data with URL syntax,curl
libcxxabi,LLVM C++ standard library,Apache-2.0 WITH LLVM-exception
libdeflate,"libdeflate is a library for fast, whole-buffer DEFLATE-based compression and decompression.",MIT
libedit,Editline Library (libedit),BSD-2-Clause
libev,"A full-featured and high-performance event loop that is loosely modeled after libevent, but without its limitations and bugs.",BSD-2-Clause
libevent,An event notification library.,BSD-3-Clause
libffi,A Portable Foreign Function Interface Library,MIT
libgcc-ng,The GCC low-level runtime library,GPL-3.0-only WITH GCC-exception-3.1
libgdal,The Geospatial Data Abstraction Library (GDAL),MIT
libgfortran-ng,The GNU Fortran Runtime Library,GPL-3.0-only WITH GCC-exception-3.1
libgfortran5,Fortran compiler and libraries from the GNU Compiler Collection,GPL-3.0-only WITH GCC-exception-3.1
libgomp,The GCC OpenMP implementation.,GPL-3.0-only WITH GCC-exception-3.1
libgpuarray,Library to manipulate arrays on GPU,ISC
libhdfs3,A Native C/C++ HDFS Client,Apache-2.0
libiconv,Provides iconv for systems which don't have one (or that cannot convert from/to Unicode.),GPL-3.0-or-later
libllvm10,Development headers and libraries for LLVM,Apache-2.0 WITH LLVM-exception
libllvm14,Development headers and libraries for LLVM,Apache-2.0 WITH LLVM-exception
libllvm9,Development headers and libraries for LLVM,Apache-2.0 WITH LLVM-exception
libnetcdf,Libraries and data formats that support array-oriented scientific data.,BSD-3-Clause
libnghttp2,This is an implementation of Hypertext Transfer Protocol version 2.,MIT
libopenblas,An Optimized BLAS library,BSD-3-Clause
libopenblas-static,OpenBLAS static libraries.,BSD-3-Clause
libpng,PNG reference library,Zlib
libpq,The postgres runtime libraries and utilities (not the server itself),PostgreSQL
libprotobuf,"Protocol Buffers - Google's data interchange format. C++ Libraries and protoc, the protobuf compiler.",BSD-3-Clause
libsodium,A modern and easy-to-use crypto library.,ISC
libspatialindex,Extensible framework for robust spatial indexing,MIT
libssh2,the SSH library,BSD-3-Clause
libstdcxx-ng,The GNU C++ Runtime Library,GPL-3.0-only WITH GCC-exception-3.1
libthrift,Compiler and C++ libraries and headers for the Apache Thrift RPC system,Apache-2.0
libtiff,Support for the Tag Image File Format (TIFF).,HPND
libuuid,Portable uuid C library 2.32.1 as pk-version 1.41.5.,BSD-3-Clause
libwebp,WebP image library,BSD-3-Clause
libwebp-base,WebP image library,BSD-3-Clause
libxcb,This is the C-language Binding (XCB) package to the X Window System protocol,MIT
libxgboost,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Flink and DataFlow",Apache-2.0
libxkbcommon,keymap handling library for toolkits and window systems,MIT/X11 Derivative
libxml2,The XML C parser and toolkit of Gnome,MIT
libxslt,The XSLT C library developed for the GNOME project,MIT
libzopfli,"A compression library programmed in C to perform very good, but slow, deflate or zlib compression.",Apache-2.0
lighttpd,"Light, fast web server",BSD-3-Clause
line_profiler,Line-by-line profiling for Python,BSD-3-Clause AND PSF-2.0
linkify-it-py,Links recognition library with FULL unicode support.,MIT
llvmlite,A lightweight LLVM python binding for writing JIT compilers.,BSD-2-Clause
locket,File-based locks for Python for Linux and Windows,BSD-2-Clause
lockfile,Platform-independent file locking module,MIT
luigi,Workflow mgmgt + task scheduling + dependency resolution.,Apache-2.0
lxml,Pythonic binding for the C libraries libxml2 and libxslt.,BSD-3-Clause and GPL-2.0-only and ZPL-2.0 and LicenseRef-ElementTree
lz4,LZ4 Bindings for Python,BSD-3-Clause
lz4-c,Extremely Fast Compression algorithm,BSD-2-Clause
lzo,LZO is a portable lossless data compression library written in ANSI C.,GPL v2+
m4,Implementation of the traditional Unix macro processor.,GPL-3.0
mako,A super-fast templating language that borrows the best ideas from the existing templating languages.,MIT
markdown,Python implementation of Markdown.,BSD-3-Clause
markdown-it-py,"Python port of markdown-it. Markdown parsing, done right!",MIT
markdown2,fast and complete Python implementation of Markdown,MIT
markupsafe,Safely add untrusted strings to HTML/XML markup.,BSD-3-Clause
matplotlib,Publication quality figures in Python,LicenseRef-PSF-based
matplotlib-base,Publication quality figures in Python,LicenseRef-PSF-based
matplotlib-inline,Inline Matplotlib backend for Jupyter,BSD-3-Clause
mccabe,McCabe complexity checker for Python,MIT
mdit-py-plugins,Collection of plugins for markdown-it-py,MIT
mdp,A Python data processing framework.,BSD
mdurl,URL utilities for markdown-it-py parser.,MIT
meld3,An HTML/XML templating engine,BSD-derived
memory_profiler,A module for monitoring memory usage of a python program,BSD 3-Clause
mistune,A sane Markdown parser with useful plugins and renderers.,BSD-3-Clause
mkl,Math library for Intel and compatible processors,LicenseRef-ProprietaryIntel
mkl-devel,Metapackage of MKL headers and libraries for developing software that uses MKL,LicenseRef-ProprietaryIntel
mkl-include,MKL headers for developing software that uses MKL,LicenseRef-ProprietaryIntel
mkl-service,Python hooks for Intel(R) Math Kernel Library runtime control settings.,BSD-3-Clause
mkl_fft,NumPy-based implementation of Fast Fourier Transform using Intel (R) Math Kernel Library.,BSD-3-Clause
mkl_random,Intel (R) MKL-powered package for sampling from common probability distributions into NumPy arrays.,BSD-3-Clause
mock,A library for testing in Python,BSD-2-Clause
mongodb,A next-gen database that lets you do things you could never do before,SSPL-1.0
more-itertools,"More routines for operating on iterables, beyond itertools",MIT
morfessor,Library for unsupervised and semi-supervised morphological segmentation,BSD 2-Clause
mpc,A C library for the arithmetic of complex numbers with arbitrarily high precision.,LGPL-3-or-later
mpfr,The MPFR library is a C library for multiple-precision floating-point computations with correct rounding.,LGPL-3.0-only
mpi,Metapackage to select the MPI variant. Use conda's pinning mechanism in your environment to control which variant you want.,BSD-3-Clause
mpi4py,Python bindings for MPI,BSD-2-Clause
mpich,A high performance widely portable implementation of the MPI standard.,LicenseRef-MPICH
mpir,Multiple Precision Integers and Rationals.,LGPL 3
mpld3,D3 Viewer for Matplotlib.,BSD-3-Clause
mpmath,Python library for arbitrary-precision floating-point arithmetic,BSD-3-Clause
msgpack-python,MessagePack (de)serializer,Apache-2.0
multidict,The multidict implementation,Apache-2.0
multipledispatch,Multiple dispatch in Python,BSD 3-Clause
multiprocess,better multiprocessing and multithreading in python,BSD-3-Clause
munch,A dot-accessible dictionary (a la JavaScript objects),MIT
munkres,The Munkres module provides an O(n^3) implementation of the Munkres algorithm (also called the Hungarian algorithm or the Kuhn-Munkres algorithm).,Apache-2.0
mypy,Optional static typing for Python,MIT
mypy_extensions,Experimental type system extensions for programs checked with the mypy typechecker.,MIT
mysql,Open source relational database management system.,GPL-2.0
natsort,Sort lists naturally,MIT
navigator-updater,Anaconda Navigator Updater,"proprietary - Anaconda, Inc."
nb_anacondacloud,Interact with Anaconda Cloud,BSD-3-Clause
nb_conda,Conda environment and package access extension from within Jupyter,BSD-3-Clause
nb_conda_kernels,Launch Jupyter kernels for any installed conda environment,BSD 3-Clause
nbclassic,Jupyter Notebook as a Jupyter Server Extension.,BSD-3-Clause
nbclient,A client library for executing notebooks. Formally nbconvert's ExecutePreprocessor.,BSD-3-Clause
nbconvert,Converting Jupyter Notebooks,BSD-3-Clause
nbformat,The Jupyter Notebook format,BSD-3-Clause
ncurses,Library for text-based user interfaces,MIT AND X11
neo4j-python-driver,Database connector for Neo4j graph database,Apache-2.0
neon,Nervana's Python-based Deep Learning framework,Apache 2.0
nest-asyncio,Patch asyncio to allow nested event loops,BSD-2-Clause
netcdf4,netcdf4-python is a Python interface to the netCDF C library.,MIT
networkx,Python package for creating and manipulating complex networks,BSD-3-Clause
nginx,Nginx is an HTTP and reverse proxy server,BSD-2-Clause
ninja,A small build system with a focus on speed,Apache-2.0
ninja-base,A small build system with a focus on speed,Apache-2.0
nltk,Natural Language Toolkit,Apache-2.0
nodejs,"Node.js is an open-source, cross-platform JavaScript runtime environment.",MIT
nomkl,,BSD-3-clause
nose-parameterized,Parameterized testing with any Python test framework.,BSD-2-Clause
notebook,Jupyter Notebook,BSD-3-Clause
notebook-shim,A shim layer for notebook traits and config,BSD-3-Clause
nspr,A platform-neutral API for system level and libc-like functions.,MPL-2.0
nss,A set of libraries designed to support cross-platform development of security-enabled client and server applications.,MPL-2.0
numba,NumPy aware dynamic Python compiler using LLVM,BSD-2-Clause
numexpr,Fast numerical expression evaluator for NumPy.,MIT
numpy,"Array processing for numbers, strings, records, and objects.",BSD-3-Clause
numpy-base,"Array processing for numbers, strings, records, and objects.",BSD-3-Clause
numpydoc,Sphinx extension to support docstrings in Numpy format,BSD-3-Clause
odo,Data migration in Python,BSD-3-Clause
olefile,"parse, read and write Microsoft OLE2 files",BSD 2-Clause
oniguruma,A regular expression library.,BSD-2-Clause
openblas,An optimized BLAS library,BSD-3-Clause
openblas-devel,OpenBLAS headers and libraries for developing software that used OpenBLAS.,BSD-3-Clause
opencv,Computer vision and machine learning software library.,Apache-2.0
openjdk,The JetBrains Runtime OpenJDK build.,GPL-2.0-only
openjpeg,An open-source JPEG 2000 codec written in C,BSD 2-Clause
openldap,OpenLDAP Software is an open source implementation of the Lightweight Directory Access Protocol.,OLDAP-2.8
